FROM_ID,TO_ID
30742,31187
30742,31296
30742,31295
30742,31085
30742,428702
30742,31212
30745,30955
30745,31164
30745,31202
30746,31533
30746,796081
30747,31342
30747,922107
30748,30749
30748,428702
30748,30838
30750,30756
30750,30754
30750,30753
30751,31295
30751,31296
30753,749122
30753,31115
30754,30766
30754,749122
30754,31115
30754,31105
30755,30754
30755,30760
30755,749122
30755,31115
30756,30754
30756,30757
30756,749122
30756,31115
30757,30766
30757,749122
30757,31115
30758,30754
30758,30762
30758,30764
30758,30761
30758,30756
30758,30750
30758,30768
30758,31012
30758,30766
30759,30766
30759,749122
30759,31115
30760,30766
30760,749122
30760,31115
30761,30754
30761,30766
30761,30759
30761,749122
30761,31115
30762,30754
30762,30763
30762,749122
30762,31115
30763,749122
30763,31115
30764,30754
30764,30765
30764,31115
30764,30766
30765,30766
30765,749122
30765,31115
30766,749122
30766,31115
30767,30759
30767,749122
30767,31115
30767,30766
30768,30761
30768,30754
30768,30767
30768,749122
30768,31115
30769,30836
30770,31263
30770,31115
30771,31227
30771,428781
30771,812679
30771,31505
30771,31140
30771,753323
30771,164383
30771,783030
30771,30848
30771,2172146
30774,31533
30774,31312
30774,31311
30776,31115
30778,31296
30778,31384
30778,1559116
30779,31212
30780,31105
30780,31465
30780,31140
30782,31212
30782,756492
30782,1369785
30782,752747
30785,31505
30785,31227
30785,31388
30785,31342
30785,30798
30785,428702
30786,31296
30786,31295
30786,428702
30787,30943
30788,30751
30792,779926
30793,31342
30793,428781
30793,31212
30793,1369785
30794,31419
30795,31342
30795,428781
30795,702557
30795,31212
30795,31384
30795,1369785
30795,1629953
30795,2216325
30796,780102
30796,31140
30796,31439
30796,31115
30796,1129523
30796,783030
30796,773828
30796,30920
30796,31342
30796,164383
30796,31105
30796,1574142
30796,793395
30796,686175
30796,843991
30796,31311
30796,701183
30796,882509
30796,701519
30796,2285735
30796,1035287
30796,1638796
30796,2353652
30796,30798
30799,31296
30800,31140
30802,30779
30802,31114
30802,31296
30802,31212
30802,31115
30802,791087
30802,1369781
30802,843130
30803,812679
30803,428702
30804,428702
30804,812679
30804,783030
30804,1715402
30805,428781
30806,31081
30806,31242
30806,31342
30806,31264
30806,922107
30806,31384
30806,1629953
30810,31457
30813,31296
30813,31295
30813,31342
30813,428702
30813,428781
30814,31000
30814,31115
30814,30827
30815,30814
30815,31115
30815,428702
30815,31296
30815,1649939
30815,1595835
30815,2184541
30815,2298999
30818,31465
30819,31115
30819,31296
30819,428781
30819,786679
30819,1595835
30821,30819
30822,30821
30822,30819
30822,786679
30822,1148171
30822,1415641
30822,1595835
30822,1677532
30823,428702
30823,31105
30823,31296
30823,899822
30824,30812
30824,30920
30824,31465
30824,31367
30824,30852
30824,31522
30824,31342
30825,30921
30825,31208
30825,30920
30825,31465
30825,31311
30825,31342
30825,31140
30825,164383
30825,31115
30825,31105
30825,970720
30825,1206649
30825,1784058
30825,686175
30825,993776
30825,1748052
30826,31311
30826,760044
30827,1116745
30827,653520
30829,428702
30830,428702
30831,970315
30831,812679
30832,31342
30832,428702
30832,428784
30832,31017
30832,922107
30832,31384
30832,1369785
30832,702557
30832,1086251
30832,31212
30832,1629953
30832,31393
30832,2299779
30833,31066
30833,31070
30837,31326
30837,30857
30837,30839
30837,31382
30837,31115
30838,31465
30838,31212
30838,31342
30838,922107
30838,31384
30838,30795
30838,1629953
30838,1369782
30838,1369784
30838,1369785
30839,914037
30839,30827
30840,30841
30840,31105
30840,31115
30841,31000
30841,31470
30841,31312
30841,31311
30841,31115
30842,30812
30842,30920
30842,31465
30842,30852
30842,31522
30842,31367
30842,31342
30844,31115
30847,31212
30847,1612844
30847,1441209
30848,31474
30848,428702
30848,656987
30848,30853
30848,714893
30851,428781
30851,31465
30852,926192
30852,783030
30855,428781
30855,31212
30855,428702
30855,31140
30857,31382
30858,30865
30858,30857
30858,30862
30858,31465
30859,30865
30859,30857
30859,30862
30859,30867
30859,31382
30859,31342
30860,30865
30860,30862
30860,30857
30860,30871
