ID,NAME,PLATFORM
30742,acacia,Cargo
30745,aio,Cargo
30746,advapi32-sys,Cargo
30747,alfred,Cargo
30748,algebloat,Cargo
30750,allegro_acodec,Cargo
30751,algebra,Cargo
30753,allegro_acodec-sys,Cargo
30754,allegro,Cargo
30755,allegro_dialog,Cargo
30756,allegro_audio,Cargo
30757,allegro_audio-sys,Cargo
30758,allegro_examples,Cargo
30759,allegro_font-sys,Cargo
30760,allegro_dialog-sys,Cargo
30761,allegro_font,Cargo
30762,allegro_image,Cargo
30763,allegro_image-sys,Cargo
30764,allegro_primitives,Cargo
30765,allegro_primitives-sys,Cargo
30766,allegro-sys,Cargo
30767,allegro_ttf-sys,Cargo
30768,allegro_ttf,Cargo
30769,allocator,Cargo
30770,alsa-sys,Cargo
30771,amqp,Cargo
30774,ansi_term,Cargo
30776,ao,Cargo
30778,ascii,Cargo
30779,assert,Cargo
30780,artifact,Cargo
30782,astar,Cargo
30785,bare-websocket,Cargo
30786,base32,Cargo
30787,basehangul,Cargo
30788,basic-hll,Cargo
30792,beanstalkd,Cargo
30793,bencode,Cargo
30794,better_range,Cargo
30795,bincode,Cargo
30796,bindgen,Cargo
30799,bitmap,Cargo
30800,bitio,Cargo
30802,blas,Cargo
30803,bloom,Cargo
30804,bloomfilter,Cargo
30805,bmp,Cargo
30806,bodyparser,Cargo
30810,bread,Cargo
30813,bytekey,Cargo
30814,bzip2-sys,Cargo
30815,bzip2,Cargo
30818,cal,Cargo
30819,capnp,Cargo
30821,capnpc,Cargo
30822,capnp-rpc,Cargo
30823,carboxyl,Cargo
30824,cargo_rub,Cargo
30825,cargo-watch,Cargo
30826,caseless,Cargo
30827,cc,Cargo
30829,cellular_maps,Cargo
30830,cfor,Cargo
30831,cfg,Cargo
30832,cgmath,Cargo
30833,char_set,Cargo
30837,civet,Cargo
30838,chrono,Cargo
30839,civet-sys,Cargo
30840,cld2,Cargo
30841,cld2-sys,Cargo
30842,clj_rub,Cargo
30844,clock_ticks,Cargo
30847,coinaddress,Cargo
30848,collect,Cargo
30851,columnar,Cargo
30852,commandext,Cargo
30855,compress,Cargo
30857,conduit,Cargo
30858,conduit-conditional-get,Cargo
30859,conduit-json-parser,Cargo
30860,conduit-cookie,Cargo
30861,conduit-log-requests,Cargo
30862,conduit-middleware,Cargo
30863,conduit-mime-types,Cargo
30864,conduit-router,Cargo
30865,conduit-test,Cargo
30866,conduit-static,Cargo
30867,conduit-utils,Cargo
30868,confsolve,Cargo
30871,cookie,Cargo
30876,cow,Cargo
30878,cpal,Cargo
30880,cpuid,Cargo
30884,crdt,Cargo
30887,cson,Cargo
30890,cssparser,Cargo
30892,c_string,Cargo
30894,csv,Cargo
30896,curl-sys,Cargo
30897,curl,Cargo
30899,c_vec,Cargo
30900,date,Cargo
30904,debug_unreachable,Cargo
30906,deque,Cargo
30907,deuterium_orm,Cargo
30909,deuterium,Cargo
30910,dht,Cargo
30911,di,Cargo
30913,diecast,Cargo
